"sampling","bromeliad","Spp","abundance"
"initial","N46","Elpidium",1
"initial","N46","Leptagrion",4
"initial","N46","Oligochaete",47
"initial","N46","Scirtes_sp",9
"initial","N46","Tipulidae",4
"initial","N47","Bezzia",1
"initial","N47","Chironomidae",8
"initial","N47","Corethrella",17
"initial","N47","Culicidae",40
"initial","N47","Forcipomyia",2
"initial","N47","Leptagrion",6
"initial","N47","Monopelopia",1
"initial","N47","Oligochaete",136
"initial","N47","Psychodidae",1
"initial","N47","Scirtes_sp",1
"initial","N48","Chironomidae",5
"initial","N48","Corethrella",1
"initial","N48","Culicidae",9
"initial","N48","Oligochaete",2
"initial","N48","Scirtes_sp",11
"initial","N48","Tipulidae",2
"initial","N49","Bezzia",1
"initial","N49","Chironomidae",11
"initial","N49","Corethrella",3
"initial","N49","Culicidae",29
"initial","N49","Leptagrion",1
"initial","N49","Monopelopia",1
"initial","N49","Oligochaete",75
"initial","N49","Scirtes_sp",19
"initial","N49","Tabanidae",1
"initial","N49","Tipulidae",2
"initial","N5","Chironomidae",4
"initial","N5","Corethrella",5
"initial","N5","Elpidium",14
"initial","N5","Forcipomyia",9
"initial","N5","Leptagrion",2
"initial","N5","Oligochaete",205
"initial","N5","Tabanid_sp2",1
"initial","N5","Tipulidae",1
"initial","N50","Chironomidae",32
"initial","N50","Culicidae",7
"initial","N50","Leptagrion",5
"initial","N50","Oligochaete",371
"initial","N50","Psychodidae",2
"initial","N50","Scirtes_sp",1
"initial","N50","Tipulidae",1
"initial","N51","Chironomidae",5
"initial","N51","Corethrella",1
"initial","N51","Culicidae",29
"initial","N51","Forcipomyia",2
"initial","N51","Lampyridae",2
"initial","N51","Leptagrion",2
"initial","N51","Oligochaete",316
"initial","N51","Psychodidae",2
"initial","N51","Scirtes_sp",5
"initial","N51","Tipulidae",2
"initial","N52","Chironomidae",18
"initial","N52","Corethrella",5
"initial","N52","Culicidae",20
"initial","N52","Forcipomyia",5
"initial","N52","Oligochaete",455
"initial","N52","Psychodidae",1
"initial","N52","Scirtes_sp",14
"initial","N6","Culicidae",8
"initial","N6","Leptagrion",1
"initial","N6","Oligochaete",76
"initial","N6","Psychodidae",1
"initial","N6","Scirtes_sp",10
"initial","N7","Chironomidae",3
"initial","N7","Culicidae",3
"initial","N7","Oligochaete",104
"initial","N7","Scirtes_sp",40
"initial","N8","Oligochaete",7
"initial","N8","Scirtes_sp",22
"initial","N9","Culicidae",6
"initial","N9","Oligochaete",38
"initial","N9","Scirtes_sp",18
"initial","N9","Tipulidae",1
"initial","V1","Chironomidae",10
"initial","V1","Culicidae",11
"initial","V1","Elpidium",1
"initial","V1","Forcipomyia",11
"initial","V1","Leptagrion",1
"initial","V1","Oligochaete",4
"initial","V10","Chironomid_longantennae",2
"initial","V10","Chironomidae",2
"initial","V10","Culicidae",10
"initial","V10","Elpidium",73
"initial","V10","Ephydridae",1
"initial","V10","Forcipomyia",25
"initial","V10","Scirtes_sp",1
"initial","V11","Bezzia",4
"initial","V11","Chironomidae",3
"initial","V11","Corethrella",1
"initial","V11","Culicidae",22
"initial","V11","Elpidium",25
"initial","V11","Ephydridae",1
"initial","V11","Forcipomyia",8
"initial","V11","Leptagrion",1
"initial","V11","Oligochaete",5
"initial","V12","Culicidae",3
"initial","V12","Forcipomyia",3
"initial","V12","Leptagrion",1
"initial","V12","Oligochaete",1
"initial","V2","Chironomidae",2
"initial","V2","Corethrella",1
"initial","V2","Elpidium",3
"initial","V2","Ephydridae",1
"initial","V2","Forcipomyia",14
"initial","V2","Leptagrion",1
"initial","V3","Bezzia",3
"initial","V3","Corethrella",1
"initial","V3","Culicidae",1
"initial","V3","Forcipomyia",2
"initial","V3","Scirtes_sp",4
"initial","V4","Bezzia",1
"initial","V4","Chironomidae",11
"initial","V4","Culicidae",13
"initial","V4","Elpidium",58
"initial","V4","Ephydridae",3
"initial","V4","Forcipomyia",16
"initial","V4","Leptagrion",4
"initial","V4","Oligochaete",2
"initial","V4","Tabanidae",1
"initial","V5","Chironomidae",18
"initial","V5","Culicidae",12
"initial","V5","Elpidium",45
"initial","V5","Leptagrion",1
"initial","V5","Scirtes_sp",3
"initial","V6","Chironomidae",4
"initial","V6","Corethrella",4
"initial","V6","Culicidae",15
"initial","V6","Elpidium",3
"initial","V6","Forcipomyia",1
"initial","V6","Leptagrion",2
"initial","V6","Scirtes_sp",7
"initial","V6","Tipulidae",1
"initial","V7","Chironomidae",1
"initial","V7","Corethrella",2
"initial","V7","Forcipomyia",8
"initial","V7","Oligochaete",1
"initial","V8","Chironomidae",12
"initial","V8","Corethrella",4
"initial","V8","Culicidae",3
"initial","V8","Elpidium",92
"initial","V8","Forcipomyia",4
"initial","V8","Scirtes_sp",19
"initial","V9","Chironomidae",16
"initial","V9","Corethrella",1
"initial","V9","Culicidae",9
"initial","V9","Elpidium",89
"initial","V9","Ephydridae",1
"initial","V9","Forcipomyia",9
"initial","V9","Lampyridae",1
"initial","V9","Leptagrion",2
"initial","V9","Oligochaete",12
"initial","V9","Scirtes_sp",3
